acceptedScientificName	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters
Parus major	12.46352	41.891488	109
Parus major	9.170373	41.164186	1208
Parus major	7.457264	45.001697	8
Parus major	17.871153	40.285914	2
Parus major	8.700752	45.555926	61
Parus major	11.830795	46.180143	2
Parus major	7.664927	44.792758	565
Parus major	16.568373	38.770278	31
Parus major	7.664927	44.792758	565
Parus major	11.917654	46.957751	61
Parus major	11.136831	46.041109	34
Parus major	11.937154	46.974561	61
Parus major	16.568388	38.770246	8
Parus major	7.664927	44.792758	565
Parus major	7.966582	44.289852	31
Parus major	12.22673	46.142276	4
Parus major	12.220638	45.643395	32
Parus major	7.664927	44.792758	565
Parus major	12.220687	45.644028	32
Parus major	7.052574	44.89064	42
Parus major	9.610935	45.993669	8
Parus major	7.664927	44.792758	565
Parus major	12.355026	45.430819	1
Parus major	8.49453	45.944068	1343
Parus major	16.568523	38.770245	31
Parus major	11.630917	44.788852	1789
Parus major	16.561643	38.754326	15
Parus major	12.321827	45.434931	1
Parus major	12.358387	45.428729	1
Parus major	10.932481	44.650553	1
Parus major	12.355162	45.43204	1
Parus major	7.382292	45.066835	1100
Parus major	11.609034	44.779529	3611
Parus major	9.97407	45.707615	27126
Parus major	14.720552	41.279521	8
Parus major	12.329425	45.432128	1
Parus major	7.387147	45.065859	1532
Parus major	12.464535	41.904942	8
Parus major	7.035854	44.798522	157
Parus major	7.038203	44.795284	249
Parus major	8.495751	45.944516	31
Parus major	12.869166	43.020055	5
Parus major	12.877865	43.027611	5
Parus major	12.882555	43.024471	5
Parus major	11.995704	45.295789	1062
Parus major	14.078827	40.799529	4
Parus major	12.957261	43.761676	204
Parus major	7.240146	44.837569	31
Parus major	7.382292	45.066835	1100
Parus major	16.563276	38.753197	8
Parus major	16.568563	38.770606	15
Parus major	7.700678	44.499416	97
Parus major	12.976041	43.79651	518
Parus major	9.709685	45.586706	87
Parus major	7.66343	44.792945	186
Parus major	7.66343	44.792945	186
Parus major	8.580305	45.767552	4
Parus major	7.664927	44.792758	565
Parus major	8.651103	45.718358	10
Parus major	9.532439	45.529361	83
Parus major	11.77757	46.74583	15
Parus major	7.735761	45.46052	36
Parus major	7.735761	45.46052	36
Parus major	13.307867	42.058294	1355
Parus major	7.395079	45.11738	2435
Parus major	7.664927	44.792758	565
Parus major	12.357931	45.427438	1
Parus major	10.932814	44.64959	124
Parus major	10.932814	44.64959	124
Parus major	10.932814	44.64959	124
Parus major	10.932814	44.64959	124
Parus major	10.932449	44.653073	1
Parus major	8.494984	45.743049	2
Parus major	8.494998	45.74302	2
Parus major	10.998772	45.898712	
Parus major	16.561151	38.754793	31
Parus major	6.697275	45.075904	2
Parus major	11.260085	43.761872	24
Parus major	7.664927	44.792758	565
Parus major	7.66343	44.792945	186
Parus major	7.306963	45.199707	27222
Parus major	16.560964	38.754631	31
Parus major	7.735761	45.46052	36
Parus major	7.664927	44.792758	565
Parus major	8.495639	45.743421	4
Parus major	7.66343	44.792945	186
Parus major	11.352087	44.500378	8
Parus major	8.752922	45.709775	27
Parus major	8.192184	45.670492	30
Parus major	7.664927	44.792758	565
Parus major	8.693027	45.952554	181
Parus major	11.097941	46.132402	35
Parus major	7.664927	44.792758	565
Parus major	10.951221	46.011422	43
Parus major	7.664927	44.792758	565
Parus major	8.648785	45.721055	
Parus major	11.325988	44.501057	43
Parus major	13.549704	45.841265	388
Parus major	7.664982	44.792684	61
Parus major	7.723923	44.422977	33
Parus major	7.052921	44.889681	63
Parus major	7.05291	44.889609	31
Parus major	6.937459	45.010331	1626
Parus major	7.735761	45.46052	36
Parus major	7.735761	45.46052	36
Parus major	7.735761	45.46052	36
Parus major	7.735761	45.46052	36
Parus major	11.26808	46.182577	
Parus major	9.709298	45.583588	172
Parus major	10.440293	45.123535	57
Parus major	14.152723	42.173385	
Parus major	14.15168	42.173898	
Parus major	9.738984	45.570933	37
Parus major	7.382292	45.066835	1100
Parus major	7.966582	44.289852	31
Parus major	7.39242	45.055073	830
Parus major	8.007356	44.322255	2
Parus major	8.007367	44.322255	2
Parus major	7.69171	44.952584	1556
Parus major	11.670348	44.750827	27285
Parus major	9.716031	45.586444	1303
Parus major	7.267329	45.037305	27222
Parus major	8.00721	44.322259	2
Parus major	12.220879	45.643831	19
Parus major	11.11978	46.099791	12
Parus major	8.007352	44.322252	2
Parus major	8.003402	44.321415	15
Parus major	17.963459	40.260273	2
Parus major	6.937459	45.010331	1626
Parus major	11.428238	44.615367	65
Parus major	7.240146	44.837569	31
Parus major	7.753435	44.424351	74
Parus major	7.700678	44.499416	97
Parus major	8.882302	45.468975	20
Parus major	7.080972	45.136133	27222
Parus major	7.990086	44.326291	15
Parus major	8.007436	44.321463	8
Parus major	7.958931	45.146635	45
Parus major	12.267023	45.690978	19
Parus major	8.995345	45.524712	26
Parus major	7.240146	44.837569	31
Parus major	7.208989	44.819588	2150
Parus major	9.963542	45.734187	27126
Parus major	11.285633	44.476858	45
Parus major	8.007358	44.322273	2
Parus major	8.007344	44.322277	4
Parus major	7.208989	44.819588	2150
Parus major	7.690204	45.057118	15
Parus major	7.748239	44.424323	128
Parus major	12.220203	45.642974	19
Parus major	16.632078	38.828713	140
Parus major	10.637913	45.463236	183
Parus major	8.032659	44.692756	
Parus major	10.355209	45.278666	9
Parus major	11.048287	44.676479	163
Parus major	11.119812	46.099707	8
Parus major	12.305703	45.52092	61
Parus major	10.029303	45.6465	646
Parus major	7.562261	43.791124	15
Parus major	7.466826	44.99098	1014
Parus major	7.711478	45.06829	
Parus major	11.261381	43.786705	
Parus major	12.129869	44.193417	
Parus major	11.60903	44.83608	
Parus major	12.61071	46.02823	
Parus major	12.485601	41.880478	
Parus major	7.727994	43.898006	
Parus major	7.711478	45.06829	
Parus major	12.493263	41.88814	
Parus major	7.711478	45.06829	
Parus major	7.727994	43.898006	
Parus major	7.711478	45.06829	
Parus major	11.273657	43.79188	
Parus major	9.51506	45.451553	
Parus major	11.279955	43.797745	
Parus major	11.279955	43.797745	
Parus major	7.217295	44.81931	
Parus major	12.129869	44.193417	
Parus major	9.51506	45.451553	
Parus major	7.514138	44.29007	
Parus major	14.299243	41.345234	
Parus major	8.183017	44.060345	
Parus major	11.625295	44.829777	
Parus major	11.061744	43.23195	
Parus major	8.201085	44.068565	
Parus major	8.160958	44.051163	
Parus major	9.200661	45.433167	
Parus major	7.626609	43.806183	
Parus major	7.514138	44.29007	
Parus major	11.620917	44.827446	
Parus major	11.625295	44.829777	
Parus major	8.016878	44.319466	
Parus major	11.218983	43.7814	
Parus major	13.033898	43.322453	
Parus major	12.96561	45.891537	
Parus major	7.711478	45.06829	
Parus major	12.96561	45.891537	
Parus major	8.221485	44.04205	
Parus major	11.625295	44.830097	
Parus major	7.727994	43.898006	
Parus major	7.727994	43.898006	
Parus major	7.544528	44.371567	
Parus major	8.263917	45.811203	
Parus major	12.836216	42.47653	
Parus major	14.252131	41.445637	
Parus major	14.372694	41.35629	
Parus major	14.360749	41.356216	
Parus major	14.372694	41.35629	
Parus major	14.40131	41.413403	
Parus major	11.073925	43.230892	
Parus major	7.727994	43.898006	
Parus major	7.711478	45.06829	
Parus major	9.53656	45.55656	
Parus major	11.061744	43.23195	
Parus major	7.217295	44.81931	
Parus major	11.653433	44.808887	
Parus major	12.96561	45.891537	
Parus major	12.96561	45.891537	
Parus major	8.638746	45.448795	
Parus major	13.952086	42.446907	
Parus major	13.952086	42.446907	
Parus major	12.046938	41.96152	
Parus major	12.063974	41.99364	
Parus major	7.514138	44.29007	
